"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
5.18054374284315e-09,0.285973390974311,1,1,5.75195771767875e-05,"2","Fth1"
5.78694541059733e-09,0.263888841188795,0.262,0.11,6.42524548938621e-05,"2","Ccdc115"
5.92187185764567e-09,0.307491691233235,0.816,0.807,6.57505432354398e-05,"2","Pomp"
6.38866153950576e-09,0.351181839246911,0.824,0.739,7.09333090731324e-05,"2","Mrps33"
6.70667828487794e-09,0.332041821463502,0.602,0.372,7.44642489969997e-05,"2","Epha5"
6.98366282076587e-09,0.261804238877786,0.996,0.996,7.75396082989634e-05,"2","Dad1"
7.34948174200771e-09,0.356201962549887,0.615,0.399,8.16012957815116e-05,"2","Pdcd5"
7.54183645491398e-09,0.286005337775735,1,0.994,8.373701015891e-05,"2","Uqcrh"
7.55656952082175e-09,0.325688809400233,0.475,0.273,8.39005913896839e-05,"2","Echs1"
7.57783370380567e-09,0.311293464359846,0.939,0.945,8.41366876133543e-05,"2","Slc25a4"
7.63012567793721e-09,0.299896724925029,1,1,8.47172854021369e-05,"2","Rpl8"
7.66007150320638e-09,0.319412049297305,0.877,0.883,8.50497739001004e-05,"2","Ywhaq"
7.86495383436312e-09,0.391133903467761,0.721,0.581,8.73245824229337e-05,"2","Polr2g"
8.04242892141396e-09,0.273102591775651,1,1,8.92950883144592e-05,"2","Rps9"
8.48586745030929e-09,0.263797316212209,1,1,9.42185863007841e-05,"2","Rps13"
9.23937047554314e-09,0.390796610656208,0.648,0.472,0.000102584730389955,"2","Yipf4"
9.31412442384443e-09,0.318754203901335,0.447,0.247,0.000103414723477945,"2","Faap20"
9.44240010084566e-09,0.279509915643937,0.275,0.121,0.000104838968319689,"2","Gatd3a"
1.07855592309039e-08,0.326953516990433,0.971,0.95,0.000119752064140726,"2","Psap"
1.10716860711188e-08,0.374702634535907,0.455,0.27,0.000122928930447631,"2","Cxxc5"
1.16132118706317e-08,0.340470492175456,0.533,0.326,0.000128941491399623,"2","Dnajc19"
1.19025056969732e-08,0.36625642969387,0.439,0.257,0.000132153520753493,"2","Emc6"
1.34726836094002e-08,0.314351704353048,0.996,0.994,0.00014958720611517,"2","Scg2"
1.39308602716704e-08,0.29192938569874,0.992,0.996,0.000154674341596356,"2","Gapdh"
1.62350940696724e-08,0.33808631024639,0.705,0.502,0.000180258249455573,"2","Cd164"
1.85697820026674e-08,0.273353743999594,0.348,0.175,0.000206180289575616,"2","Pik3ip1"
1.95197944362635e-08,0.330560079292703,0.496,0.295,0.000216728277625834,"2","Suclg1"
2.00185284405972e-08,0.34616523144051,0.488,0.287,0.000222265721275951,"2","Mrpl42"
