"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Irf1",2.46024708892508e-39,0.566765403340873,0.654,0.373,2.73161234283351e-35,"1","Irf1"
"Irs2",8.90302855157235e-38,0.537272547199985,0.81,0.526,9.88503260081078e-34,"1","Irs2"
"Fos",9.46410897760505e-38,0.526659189036179,0.999,0.998,1.05080001978349e-33,"1","Fos"
"Zfp36",2.8160708860923e-36,0.62616153258123,0.844,0.71,3.12668350482828e-32,"1","Zfp36"
"Jun",9.01028838703043e-34,0.614778681607407,0.945,0.92,1.00041231961199e-29,"1","Jun"
"Socs3",5.73761231421506e-33,0.503916320541341,0.662,0.392,6.37047095247298e-29,"1","Socs3"
"Actg1",1.45956478051426e-32,0.503983153838574,0.978,0.985,1.62055477580498e-28,"1","Actg1"
"Epha5",8.66465507790306e-32,0.419793450309534,0.794,0.531,9.62036653299577e-28,"1","Epha5"
"Eif1a",1.06254142133904e-31,0.422801406965142,0.733,0.456,1.17973974011274e-27,"1","Eif1a"
"Bhlhe40",1.95896572798639e-31,0.472727267710782,0.737,0.471,2.17503964778329e-27,"1","Bhlhe40"
"Ccnl1",2.46855400681141e-31,0.426846201717673,0.773,0.506,2.74083551376271e-27,"1","Ccnl1"
"Ddx5",2.99926317427243e-31,0.319905739679358,0.993,0.989,3.33008190239468e-27,"1","Ddx5"
"Peg3",4.06782169213392e-31,0.40333729663491,0.978,0.965,4.51650242477629e-27,"1","Peg3"
"Eif1",2.74088820826228e-30,0.298752339946735,1,1,3.04320817763361e-26,"1","Eif1"
"Mcl1",3.05742421675999e-30,0.532357762938938,0.685,0.453,3.39465810786862e-26,"1","Mcl1"
"Ly6h1",5.61514750682801e-30,0.340611758856025,1,0.986,6.23449827683114e-26,"1","Ly6h"
"Bsg1",8.31681424899683e-30,0.356725121069947,0.987,0.972,9.23415886066118e-26,"1","Bsg"
"Zbtb20",1.16080251534815e-27,0.333190634151427,0.978,0.965,1.28883903279106e-23,"1","Zbtb20"
"Nfkbiz",1.41807443549019e-27,0.451612548102847,0.603,0.358,1.57448804572475e-23,"1","Nfkbiz"
"Dstn",5.01748906162418e-27,0.424356476336125,0.949,0.934,5.57091810512132e-23,"1","Dstn"
"Scg21",3.13010270857053e-26,0.324799600200542,1,0.991,3.47535303732586e-22,"1","Scg2"
"Ppp1r15a",3.15893952178171e-25,0.636251558914404,0.76,0.643,3.50737055103423e-21,"1","Ppp1r15a"
"Atp1a2",6.53317595637627e-25,0.370372621208464,0.641,0.398,7.25378526436458e-21,"1","Atp1a2"
"Klf9",4.88604318068734e-24,0.439281933869281,0.742,0.521,5.42497374351716e-20,"1","Klf9"
"Slc25a25",1.01298321390559e-23,0.385250840572534,0.511,0.3,1.12471526239937e-19,"1","Slc25a25"
"Klf13",2.20932135213742e-23,0.33163393844797,0.522,0.309,2.45300949727818e-19,"1","Klf13"
"Efemp1",4.28634162595123e-23,0.295249709825712,0.566,0.343,4.75912510729365e-19,"1","Efemp1"
"Errfi1",8.48259456040336e-23,0.576717958813173,0.452,0.258,9.41822474041585e-19,"1","Errfi1"
"Srsf7",2.1835534954885e-22,0.401391882737311,0.596,0.389,2.42439944604088e-18,"1","Srsf7"
"Gcc1",4.08596362245371e-22,0.272751423583947,0.342,0.167,4.53664541001035e-18,"1","Gcc1"
"Psmb2",9.98465117024176e-22,0.333977135846634,0.88,0.801,1.10859581943194e-17,"1","Psmb2"
"Akap9",1.00043785952176e-21,0.329978049765363,0.749,0.521,1.11078615542701e-17,"1","Akap9"
"Nr3c11",1.44448742660703e-21,0.344022748145446,0.84,0.609,1.60381438976179e-17,"1","Nr3c1"
"Ppp1r10",6.31408910604688e-20,0.306738101793631,0.592,0.376,7.01053313444386e-16,"1","Ppp1r10"
"Tpm3",6.85412297192577e-20,0.339362328974807,0.625,0.426,7.61013273572919e-16,"1","Tpm3"
"Srrm1",9.8411383754361e-20,0.294457122006596,0.758,0.542,1.09266159382467e-15,"1","Srrm1"
"Tiparp",1.08046867128484e-19,0.358245774788168,0.587,0.378,1.19964436572756e-15,"1","Tiparp"
"Coq10b",1.46127955059798e-19,0.330636252007194,0.657,0.443,1.62245868502894e-15,"1","Coq10b"
"Nop58",2.23535063593661e-19,0.334188882562456,0.635,0.429,2.48190981108041e-15,"1","Nop58"
